,year,vio,mur,rob,incarc_rate,pb1064,pw1064,pm1029,pop,avginc,density,stateid,shall
43,97,701.1,8.9,106.4,383,8.834.417,61.009.186,1.598.483,608.846,16.816.679,10.674.505,2,1
44,98,653.9,6.7,86.6,420,8.933.932,60.745.445,16.305.622,615.205,1.707.745,10.785.994,2,1
45,99,631.5,8.6,91.4,413,8.986.603,6.055.464,166.318,6.195,17.120.142,10.861.295,2,1
46,77,494.2,9.5,138.2,125,34.364.219,66.619.576,18.728.128,2.425.197,10.919.448,21.383.012,4,0
47,78,552.1,9.4,162.9,129,34.574.158,66.487.816,18.489.193,2.515.318,11.591.408,2.217.761,4,0
48,79,593.0,8.9,175.7,146,3.473.442,6.649.958,1.828.485,263.557,118.046.875,23.237.875,4,0
49,80,650.9,10.3,193.6,139,35.928.094,6.615.736,180.928,2.737.774,1.159.431,24.119.658,4,0
50,81,575.8,8.1,177.6,160,3.557.633,6.635.718,17.994.987,2.810.127,11.681.168,24.757.084,4,0
51,82,517.0,8.3,158.6,184,35.881.262,6.618.365,17.797.268,2.889.865,11.295.239,25.459.573,4,0
52,83,494.2,7.2,132.4,209,3.622.587,6.586.687,1.758.133,2.968.928,11.654,26.156.113,4,0
53,84,516.1,7.8,131.1,223,3.644.696,6.558.672,17.307.154,3.067.142,12.356.715,27.021.375,4,0
54,85,602.5,8.0,146.5,247,36.738.405,6.533.994,17.026.104,3.183.535,12.786.208,28.046.789,4,0
55,86,658.3,9.3,169.2,256,37.280.602,6.511.162,16.738.276,3.308.262,13.146.867,29.145.628,4,0
56,87,612.6,7.5,138.4,268,3.784.642,6.477.774,1.645.066,3.437.102,1.326.901,30.280.702,4,0
57,88,610.1,8.5,137.0,307,3.844.388,6.444.434,16.156.635,3.535.179,1.329.939,31.144.757,4,0
58,89,599.6,6.7,139.0,328,3.903.289,63.912.247,15.895.169,3.622.176,13.304.104,31.911.194,4,0
59,90,652.4,7.7,160.9,350,39.642.506,64.845.985,15.651.569,3.679.056,13.114.782,32.374.088,4,0
60,91,670.7,7.8,165.7,375,4.026.213,6.448.261,15.326.173,3.762.394,12.838.553,33.107.426,4,0
61,92,670.8,8.1,153.1,396,4.067.532,64.293.015,15.064.025,3.867.333,1.287.301,34.030.844,4,0
62,93,715.0,8.6,162.9,409,4.107.062,6.402.615,14.840.148,399.339,12.922.884,3.514.009,4,0
63,94,703.1,10.5,162.0,430,41.611.204,6.419.139,1.463.248,4.147.561,13.288.128,3.649.673,4,0
64,95,713.5,10.4,173.8,459,4.210.515,6.404.899,14.524.527,4.306.908,13.494.636,3.789.891,4,1
65,96,631.5,8.5,167.8,473,4.258.865,6.388.958,14.441.641,4.432.308,13.722.985,39.002.378,4,1
66,97,623.7,8.2,165.7,479,4.313.578,6.403.395,14.378.674,4.552.207,14.146.379,40.057.436,4,1
67,98,577.9,8.1,165.2,484,4.317.078,63.871.933,14.361.544,4.667.277,14.745.263,4.107,4,1
68,99,551.2,8.0,152.5,507,4.343.524,63.804.356,14.366.541,4.778.332,15.053.453,42.047.236,4,1
69,77,322.9,8.8,83.2,115,53.259.153,5.949.733,17.295.847,220.901,9.321.481,4.252.594,5,0
70,78,344.1,9.1,80.0,111,52.947.116,5.949.071,17.098.557,2.243.125,9.945.752,43.182.693,5,0
71,79,366.2,9.1,74.6,115,5.256.688,59.472.557,16.901.999,2.271.335,9.724.736,4.372.577,5,0
72,80,335.2,9.2,80.9,132,53.009.996,59.408.722,1.677.785,2.288.738,91.714.735,4.394.827,5,0
73,81,310.3,9.1,77.4,128,53.630.853,59.391.113,16.702.766,2.293.195,9.386.144,4.403.385,5,0
74,82,324.7,8.2,78.8,143,5.396.681,5.934.017,16.573.957,2.294.262,9.238.463,4.405.434,5,0
75,83,297.7,7.6,69.3,166,54.121.556,59.312.443,1.641.476,2.305.754,9.476,4.427.501,5,0
76,84,321.4,7.5,67.6,179,5.429.969,59.300.602,16.234.512,2.319.774,1.012.704,44.544.224,5,0
77,85,347.6,7.9,68.5,188,5.448.844,5.918.848,16.048.042,2.327.044,10.430.464,44.683.818,5,0
78,86,394.8,8.1,79.7,195,54.539.256,5.912.255,15.810.273,233.199,10.666.205,44.778.794,5,0
79,87,412.0,7.6,79.1,198,5.468.931,5.908.031,15.593.083,2.342.359,10.685.368,44.977.896,5,0
80,88,422.7,8.7,84.1,227,54.859.524,5.894.504,15.357.943,2.342.638,10.959.472,44.983.257,5,0
81,89,473.7,8.4,110.6,230,55.077.868,58.813.614,15.121.376,2.346.387,11.091.839,45.055.244,5,0
82,90,532.2,10.3,113.2,261,55.452.414,61.018.764,14.935.037,2.354.343,11.055.859,45.210.622,5,0
83,91,593.3,11.1,135.6,277,56.031.513,6.095.456,14.807.569,2.370.666,11.151.405,45.524.072,5,0
84,92,576.5,10.8,125.5,317,5.660.378,60.805.237,14.689.708,2.394.098,1.166.175,4.597.404,5,0
85,93,593.3,10.2,124.9,340,5.731.631,60.919.617,14.565.695,2.423.743,11.709.556,4.654.331,5,0
86,94,595.1,12.0,128.7,327,57.489.886,6.100.677,14.455.124,2.450.605,119.279.995,4.705.915,5,0
87,95,553.2,10.4,125.7,345,57.777.424,60.962.673,14.396.959,2.480.121,12.129.084,47.625.944,5,0
88,96,524.0,9.0,114.0,361,583.566,60.963.017,14.368.838,2.504.858,1.234.567,4.810.097,5,1
89,97,526.9,9.9,111.5,357,58.848.095,610.488,14.306.062,2.524.007,12.561.588,4.846.869,5,1
90,98,490.2,7.9,96.2,392,59.173.384,61.099.075,1.425.316,2.538.202,12.987.416,48.741.277,5,1
91,99,425.2,5.6,79.3,415,59.619.274,61.211.395,14.175.386,2.551.373,13.295.334,48.994.202,5,1
92,77,706.0,11.5,287.0,85,5.011.663,6.551.936,1.878.835,22.352.402,14.089.081,14.295.381,6,0
93,78,742.9,11.7,306.1,80,516.054,6.527.907,18.638.136,22.835.962,14.696.304,14.604.641,6,0
94,79,811.1,13.0,333.8,88,52.997.417,6.499.982,18.491.749,23.256.887,14.880.712,14.873.841,6,0
95,80,893.6,14.5,384.2,93,55.943.036,6.443.827,18.383.966,238.008,14.543.061,15.227.737,6,0
96,81,863.0,13.0,388.2,98,5.764.122,64.164.764,18.330.189,24.285.936,14.472.679,15.538.128,6,0
97,82,814.7,11.2,372.1,114,59.559.574,6.359.418,18.204.891,24.820.007,14.214.767,15.879.825,6,0
98,83,772.6,10.5,340.9,135,6.108.492,63.024.395,18.008.028,25.360.023,14.491,16.225.326,6,0
99,84,763.4,10.6,327.5,150,62.665.477,62.473.785,17.793.894,25.844.389,15.273.993,16.535.224,6,0
100,85,765.3,10.5,327.7,162,6.419.227,619.726,17.584.185,26.441.113,15.657.734,16.917.005,6,0
101,86,920.5,11.3,342.9,181,6.571.936,61.432.102,17.351.414,27.102.242,16.023.851,17.339.997,6,0
102,87,918.0,10.6,301.3,212,67.125.707,60.960.827,17.132.698,27.777.153,16.334.124,17.771.804,6,0
103,88,929.8,10.4,305.8,231,6.850.673,60.545.517,1.692.792,28.464.252,16.598.347,18.211.411,6,0
104,89,977.7,10.9,331.8,257,6.997.949,6.014.187,16.784.927,2.921.816,16.674.294,1.869.376,6,0
105,90,1045.2,11.9,377.0,283,71.562.037,60.538.208,16.610.466,29.950.111,16.679.419,19.202.112,6,0
106,91,1089.9,12.7,411.3,311,726.585,59.861.633,16.228.722,30.414.114,16.099.545,19.499.601,6,0
107,92,1119.7,12.7,424.1,318,73.942.056,59.405.872,15.903.898,3.087.592,1.613.262,19.795.683,6,0
108,93,1077.8,13.1,405.1,339,7.525.185,58.840.946,15.591.144,31.147.207,15.796.703,19.969.615,6,0
109,94,1013.0,11.8,356.8,368,76.189.528,58.340.137,15.291.323,31.317.179,15.773.856,2.007.859,6,0
110,95,966.0,11.2,331.2,384,7.714.913,57.918.995,15.083.774,31.493.525,16.020.384,20.191.652,6,0
111,96,862.7,9.1,295.6,416,78.031.034,57.642.254,14.951.961,31.780.828,16.232.504,20.375.852,6,0
112,97,798.3,8.0,252.5,446,7.907.242,57.711.323,14.880.571,3.221.771,16.606.781,20.655.952,6,0
113,98,703.7,6.6,210.6,475,8.000.757,57.913.662,14.872.557,32.682.793,17.269.304,20.954.135,6,0
114,99,627.2,6.0,181.1,483,808.967,58.149.757,149.153.595,33.145.123,17.853.888,2.125.055,6,0
115,77,511.9,6.3,170.7,87,20.266.366,72.378.975,2.001.816,2.696.142,12.440.148,25.982.905,8,0
116,78,498.0,7.3,159.2,89,20.817.943,7.241.429,1.980.795,2.766.748,13.047.592,26.663.339,8,0
117,79,522.1,5.8,157.0,93,2.115.095,7.249.131,19.575.998,2.849.234,13.165.711,27.458.262,8,0
118,80,528.6,6.9,160.1,90,22.071.621,72.379.845,19.345.896,2.908.803,13.068.081,28.078.604,8,0
119,81,531.7,8.1,159.5,96,2.254.344,7.238.009,19.039.288,2.977.895,13.306.536,28.745.549,8,0
120,82,504.2,6.0,150.6,92,23.139.768,7.221.121,18.559.732,3.061.569,1.335.924,29.553.251,8,0
121,83,476.4,6.4,126.4,108,23.689.475,7.182.253,18.046.877,3.133.628,13.57,30.248.834,8,0
122,84,457.8,5.8,114.0,109,24.242.055,7.146.875,17.527.422,3.169.987,14.146.209,30.599.808,8,0
123,85,471.0,5.8,124.2,104,24.917.436,7.109.287,1.711.547,3.208.717,14.275.216,30.973.667,8,0
124,86,523.6,7.0,144.8,103,25.477.483,70.606.255,16.647.068,3.237.447,14.336.748,31.251,8,0
125,87,467.5,5.8,118.8,115,25.992.508,7.012.352,16.224.125,3.260.478,14.397.709,31.473.313,8,0
126,88,472.6,5.7,98.8,145,26.437.025,6.971.968,15.818.411,3.262.281,1.455.397,31.490.717,8,0
127,89,471.4,4.4,90.0,174,26.987.128,694.189,15.471.114,3.275.821,14.894.044,3.162.142,8,0
128,90,526.0,4.2,90.6,207,27.509.925,70.512.146,1.520.009,3.303.862,15.013.686,31.850.595,8,0
129,91,559.3,5.9,107.4,209,2.798.311,705.401,14.877.833,3.367.567,14.975.997,32.464.735,8,0
130,92,578.8,6.2,120.5,249,28.296.285,70.587.585,14.656.899,3.459.995,15.227.369,33.355.776,8,0
131,93,567.3,5.8,116.7,256,28.797.064,70.765.884,144.605.665,3.560.884,15.520.414,34.328.394,8,0
132,94,509.6,5.4,106.9,262,29.205.427,7.096.488,1.428.738,365.391,15.790.656,352.252,8,0
133,95,440.2,5.8,96.2,289,2.947.571,71.140.495,14.211.726,3.738.061,1.626.171,3.603.645,8,0
134,96,404.5,4.7,98.2,292,2.973.025,711.972,14.178.816,3.812.716,16.656.685,36.756.158,8,0
135,97,363.2,4.0,83.3,322,3.003.526,711.914,14.200.729,3.891.293,1.735.757,37.513.673,8,0
136,98,377.9,4.6,81.5,342,3.058.428,7.109.323,14.237.659,3.968.967,18.242.016,3.826.248,8,0
137,99,340.5,4.6,75.3,357,30.949.676,7.119.784,14.238.562,4.056.133,18.856.733,39.102.796,8,0
138,77,282.3,4.2,129.5,62,26.258.686,6.983.115,1.753.661,3.085.722,14.322.529,6.346.611,9,0
139,78,315.0,4.2,154.8,53,26.866.095,6.985.175,17.440.546,3.091.629,148.521.595,635.876,9,0
140,79,414.2,4.2,193.3,70,27.599.926,698.198,17.337.368,3.095.914,15.052.212,6.367.573,9,0
141,80,412.5,4.7,218.0,69,28.780.274,6.961.651,1.724.054,3.113.174,15.038.751,638.993,9,0
142,81,448.1,5.4,246.1,68,2.987.402,6.948.974,1.718.353,3.128.839,15.196.039,64.220.834,9,0
143,82,399.5,5.2,208.5,95,3.083.773,6.911.452,16.991.812,3.139.012,15.379.895,6.442.964,9,0
144,83,375.0,4.1,200.6,114,31.720.152,6.865.659,16.760.263,3.162.343,15.799,6.490.852,9,0
145,84,393.8,3.9,190.5,114,32.614.858,6.823.032,16.472.082,3.180.023,1.685.922,6.527.141,9,0
146,85,402.0,3.8,190.0,119,33.486.009,67.746.025,16.171.143,3.201.128,17.374.538,65.704.596,9,0
147,86,425.8,4.6,192.2,127,3.435.485,6.721.826,15.879.366,3.223.737,18.214.542,6.616.866,9,0
148,87,419.0,4.9,178.1,135,35.237.064,667.266,15.539.876,3.247.291,19.201.914,66.652.113,9,0
149,88,455.4,5.4,187.6,144,36.174.977,662.566,15.222.231,3.271.958,20.213.894,6.715.842,9,0
150,89,511.8,5.9,214.8,146,37.049.909,6.567.208,1.487.585,3.283.409,2.071.499,6.739.345,9,0
151,90,553.7,5.1,234.8,194,37.900.236,67.244.125,14.534.566,3.289.056,20.372.833,6.788.557,9,0
152,91,539.7,5.7,224.4,238,3.877.986,666.134,14.128.668,328.864,19.636.852,6.787.698,9,0
153,92,495.3,5.1,210.9,263,39.494.693,6.603.352,13.758.242,3.274.997,20.330.849,675.954,9,0
154,93,456.2,6.3,196.7,268,4.025.792,65.461.136,13.459.758,3.272.325,20.395.779,67.540.246,9,0
155,94,455.5,6.6,187.8,320,40.814.223,6.508.693,13.177.644,3.268.346,20.517.504,6.745.812,9,0
156,95,405.9,4.6,163.2,321,4.132.952,6.480.254,12.9683,3.265.293,20.893.337,6.739.511,9,0
157,96,412.0,4.8,169.6,318,42.088.075,6.468.811,12.819.993,326.703,21.254.719,67.430.955,9,0
158,97,390.9,3.8,152.9,314,42.994.766,6.464.516,12.725.049,3.268.514,22.119.398,6.746.159,9,0
159,98,366.3,4.1,133.8,397,43.919.706,6.435.552,12.731.398,3.272.563,23.133.072,6.754.516,9,0
160,99,345.6,3.3,123.5,372,4.480.762,6.413.895,12.770.507,3.282.031,23.646.713,6.774.058,9,0
161,77,382.1,6.0,157.0,118,574.693,64.157.555,18.575.129,591.829,13.008.972,29.860.193,10,0
162,78,440.7,6.7,145.5,120,58.401.723,64.102.516,18.420.855,594.777,132.294.235,3.000.893,10,0
163,79,537.3,5.7,129.4,173,59.395.075,63.968.155,18.253.662,594.982,13.101.228,30.019.274,10,0
164,80,474.8,6.9,137.0,181,60.396.457,6.320.911,17.995.728,594.919,13.060.827,30.792.907,10,0
165,81,509.0,6.7,141.1,183,612.362,63.026.558,17.873.352,595.971,13.012.808,30.847.362,10,0
166,82,559.8,5.3,122.4,208,61.713.867,6.256.893,17.692.476,599.136,13.134.263,31.011.182,10,0
167,83,453.1,4.1,115.3,250,6.215.406,62.104.176,17.444.233,605.415,13.529,31.336.182,10,0
168,84,435.7,4.1,116.0,273,62.559.175,6.166.697,17.148.829,611.517,14.208.544,31.652.018,10,0
169,85,433.3,4.8,124.3,263,6.296.459,61.205.208,16.858.757,618.284,14.867.856,32.002.276,10,0
170,86,427.0,4.9,124.2,281,634.046,60.804.993,16.537.302,627.557,15.253.928,32.482.246,10,0
171,87,430.7,5.1,122.5,311,6.404.671,60.485.245,16.212.399,636.957,15.727.241,3.296.879,10,0
172,88,451.7,5.2,118.8,326,6.478.223,6.015.025,1.585.676,647.585,16.260.704,33.518.893,10,0
173,89,556.5,5.1,138.8,331,65.545.177,59.829.422,15.518.517,658.233,1.680.679,34.070.033,10,0
174,90,655.2,5.0,164.8,333,66.351.004,6.146.357,15.209.031,669.063,16.486.633,34.223.172,10,0
175,91,714.3,5.4,214.7,323,67.943.187,61.005.005,14.924.725,680.495,16.332.003,3.480.793,10,0
176,92,621.2,4.6,151.2,344,6.956.813,60.554.974,14.654.905,690.158,1.639.674,353.022,10,0
177,93,685.9,5.0,186.7,390,709.718,6.017.885,14.394.367,699.475,16.414.047,35.778.773,10,0
178,94,644.3,4.7,161.6,394,7.244.331,59.733.265,14.183.616,708.416,1.648.416,3.623.611,10,0
179,95,725.0,3.5,198.7,400,7.419.685,59.498.795,13.967.687,718.265,16.605.713,36.739.898,10,0
180,96,668.3,4.3,179.9,413,75.767.784,5.917.424,13.795.129,72.709,16.916.399,37.191.305,10,0
181,97,677.9,2.5,179.5,428,77.541.685,58.771.416,13.674.928,735.024,17.019.747,37.597.135,10,0
182,98,762.4,2.8,194.2,443,79.507.732,58.379.498,13.576.484,744.066,1.785.342,3.805.964,10,0
183,99,734.0,3.2,197.9,429,8.134.692,5.807.962,13.491.821,753.538,18.359.198,38.544.142,10,0
184,77,1426.5,27.8,964.5,334,25.805.893,21.911.938,18.158.407,677.229,159.500.885,11.102.116,11,0
185,78,1411.7,28.0,939.6,330,25.826.742,21.999.666,18.045.984,665.051,15.964.544,10.902.475,11,0
186,79,1608.7,27.4,1054.9,383,2.586.125,22.067.644,17.921.894,650.015,15.552.992,10.655.983,11,0
187,80,2010.6,31.5,1400.6,433,25.680.262,2.178.043,17.600.159,638.284,14.927.523,10.131.493,11,0
188,81,2274.8,35.1,1635.1,426,25.580.238,22.425.867,17.629.463,636.894,14.828.879,10.109.428,11,0
189,82,2123.1,30.7,1448.0,467,2.538.574,22.974.876,17.525.715,634.171,15.278.759,10.066.206,11,0
190,83,1915.4,29.4,1235.6,531,25.071.033,23.425.974,17.241.346,632.439,15.532,10.038.713,11,0
191,84,1721.5,28.1,977.0,558,24.813.303,23.858.273,1.701.343,633.382,16.423.834,10.053.682,11,0
192,85,1624.8,23.5,835.5,649,24.521.112,24.201.828,1.674.339,634.543,16.831.902,10.072.111,11,0
193,86,1505.3,31.0,754.0,738,24.276.413,24.548.552,16.521.954,638.278,1.729.827,10.131.396,11,0
194,87,1610.3,36.2,717.4,753,24.046.919,24.803.825,16.234.335,636.934,17.760.126,10.110.064,11,0
195,88,1921.6,59.5,917.7,905,23.849.277,2.505.639,15.959.266,63.043,1.889.448,10.006.825,11,0
196,89,2141.9,71.9,1083.1,1078,23.587.994,25.250.856,15.643.459,624.165,19.521.732,9.907.381,11,0
197,90,2458.2,77.8,1213.5,1132,23.417.145,2.608.502,15.297.094,603.814,20.289.774,989.859,11,0
198,91,2453.3,80.6,1215.6,1148,2.334.388,25.521.248,14.922.991,593.239,20.517.708,9.725.229,11,0
199,92,2832.8,75.2,1266.4,1221,23.307.936,25.409.504,14.559.307,584.183,21.309.229,9.576.771,11,0
200,93,2921.8,78.5,1229.6,1287,22.929.846,25.704.336,14.057.235,576.358,21.817.184,9.448.492,11,0
201,94,2662.6,70.0,1107.2,1549,22.569.921,26.086.494,13.639.195,564.982,22.003.296,9.262,11,0
202,95,2661.4,65.0,1239.0,1782,22.260.115,2.644.189,13.294.502,551.273,2.161.143,9.037.263,11,0
203,96,2469.8,73.1,1186.7,1650,21.946.856,27.005.814,128.854.685,538.273,21.844.635,8.824.147,11,0
204,97,2024.2,56.9,850.9,1611,21.797.554,27.668.358,12.658.297,528.752,2.247.337,8.668.065,11,0
205,98,1718.5,49.7,689.5,1682,21.840.683,28.449.291,12.418.445,521.426,22.892.338,8.547.967,11,0
206,99,1627.7,46.4,644.3,1913,2.166.975,29.274.567,1.221.368,519,2.339.974,8.508.196,11,0
207,77,686.8,10.2,187.9,211,508.674,6.000.757,16.374.424,8.856.183,11.524.441,1.637.305,12,0
208,78,765.6,11.0,206.0,221,5.038.732,59.939.705,16.130.156,9.102.032,12.103.288,1.682.757,12,0
209,79,833.9,12.2,249.4,239,5.018.184,6.012.845,15.971.447,9.426.159,12.181.988,17.426.805,12,0
210,80,983.5,14.5,355.5,220,50.780.425,59.852.417,15.734.939,9.839.835,121.492.405,18.170.433,12,0
211,81,965.1,15.0,348.9,208,51.398.253,5.993.149,15.723.417,10.192.778,12.269.719,18.822.184,12,0
212,82,896.8,13.5,297.6,224,51.806.026,59.844.776,15.581.583,10.471.407,12.166.247,19.336.706,12,0
213,83,826.7,11.2,263.4,261,52.103.915,59.691.216,1.542.759,10.749.845,12.637,19.850.875,12,0
214,84,868.0,11.5,276.2,235,52.227.907,5.950.279,15.174.528,11.039.921,13.199.676,20.386.535,12,0
215,85,941.1,11.4,312.4,242,5.236.619,5.925.166,14.926.041,11.351.122,1.361.683,20.961.206,12,0
216,86,1036.5,11.7,366.8,247,52.470.603,5.890.889,14.667.311,11.667.504,14.019.506,21.545.444,12,0
217,87,1024.4,11.4,356.6,272,52.717.824,58.622.997,14.385.649,1.199.729,14.395.954,22.154.433,12,0
218,88,1117.7,11.4,403.3,265,52.886.643,5.821.194,14.089.536,12.306.396,14.813.306,22.725.233,12,1
219,89,1109.4,11.1,404.0,278,5.319.287,57.877.712,13.865.836,12.637.709,15.293.135,23.337.044,12,1
220,90,1244.3,10.7,416.8,307,5.353.076,5.933.008,136.879.015,13.018.365,15.129.511,24.109.422,12,1
221,91,1184.3,9.4,399.8,336,5.456.843,58.974.323,13.383.975,13.289.497,14.758.159,24.611.546,12,1
222,92,1207.2,9.0,366.9,344,5.591.074,58.528.793,13.168.669,13.504.775,1.466.931,2.501.023,12,1
223,93,1206.0,8.9,357.6,355,5.693.723,57.949.165,12.930.659,13.713.593,14.918.228,25.396.952,12,1
224,94,1146.8,8.3,328.8,384,58.098.607,57.549.244,12.717.911,13.961.798,1.501.248,2.585.662,12,1
225,95,1071.0,7.3,299.9,406,5.931.224,57.330.185,1.258.249,14.185.403,15.376.847,26.270.723,12,1
226,96,1051.0,7.5,289.2,447,60.442.114,5.711.045,1.251.724,14.426.911,1.563.116,26.717.988,12,1
227,97,1023.6,6.9,276.1,439,61.744.766,5.702.666,12.505.341,1.468.335,15.972.741,271.929,12,1
228,98,938.7,6.5,242.7,437,6.283.623,57.054.928,12.508.312,1.490.823,16.454.842,27.609.366,12,1
229,99,854.0,5.7,211.6,447,6.394.272,57.114.212,12.525.759,15.111.244,16.613.037,2.798.534,12,1
230,77,439.8,11.7,140.5,225,8.995.614,5.527.949,18.802.866,5.219.699,102.273.245,8.988.168,13,0
231,78,482.8,14.4,166.3,224,9.080.371,55.132.725,1.861.688,5.295.753,10.679.192,91.191.314,13,0
232,79,558.7,17.1,213.7,216,9.193.938,5.498.414,18.440.752,5.401.385,105.945.835,9.301.026,13,0
233,80,555.3,13.8,197.6,224,9.368.551,54.873.524,18.326.834,5.486.174,10.245.066,9.449.797,13,0
234,81,548.2,17.2,196.4,219,9.516.834,54.790.035,18.219.694,5.568.343,10.340.759,95.913.306,13,0
235,82,478.2,12.6,154.6,220,9.618.777,5.468.195,1.808.953,5.649.793,10.375.728,9.731.626,13,0
236,83,456.7,8.4,144.2,247,9.689.654,54.565.266,1.791.106,5.728.254,10.849,9.866.773,13,0
237,84,478.6,9.4,144.1,259,9.735.667,5.450.443,1.767.456,5.834.957,11.685.415,100.505.665,13,0
238,85,507.2,10.4,164.2,254,9.769.167,54.408.463,17.438.736,5.962.668,12.170.418,10.270.546,13,0
239,86,587.6,11.2,213.9,251,97.780.485,54.310.577,17.174.353,608.466,12.716.909,104.806.736,13,0
240,87,576.5,11.8,209.2,265,97.824.745,54.232.216,16.876.526,620.847,1.299.714,10.693.933,13,0
241,88,665.3,11.7,243.6,282,9.798.496,54.057.777,1.663.891,6.316.153,13.367.592,108.794.145,13,0
242,89,735.8,12.7,271.1,281,9.818.057,53.841.606,16.410.498,6.411.085,13.492.808,11.042.933,13,0
